Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,774.109985,777.289978,768.409973,770.760010,770.760010,253020000
1994-01-04,771.429993,774.780029,771.020020,774.280029,774.280029,298600000
1994-01-05,775.229980,778.210022,773.690002,778.049988,778.049988,349880000
1994-01-06,780.359985,781.210022,778.250000,780.409973,780.409973,349210000
1994-01-07,779.289978,783.390015,778.200012,782.940002,782.940002,330060000
1994-01-10,783.049988,787.489990,782.919983,786.690002,786.690002,313350000
1994-01-11,785.929993,787.320007,784.340027,785.520020,785.520020,321930000
1994-01-12,788.200012,788.429993,782.679993,786.869995,786.869995,322540000
1994-01-13,784.359985,787.849976,783.969971,787.809998,787.809998,290110000
1994-01-14,789.989990,793.140015,788.780029,792.309998,792.309998,299660000
1994-01-17,791.679993,792.739990,790.830017,792.179993,792.179993,243450000
1994-01-18,791.940002,793.169983,791.260010,793.020020,793.020020,319440000
1994-01-19,789.640015,792.080017,787.320007,789.280029,789.280029,337870000
1994-01-20,790.320007,793.030029,789.840027,793.030029,793.030029,340170000
1994-01-21,794.309998,794.650024,792.590027,794.280029,794.280029,349430000
1994-01-24,793.890015,794.419983,789.880005,790.650024,790.650024,303880000
1994-01-25,789.979980,791.210022,783.530029,786.390015,786.390015,352350000
1994-01-26,785.130005,789.500000,784.869995,788.799988,788.799988,316490000
1994-01-27,789.130005,793.320007,788.460022,792.880005,792.880005,314490000
1994-01-28,795.030029,796.539978,793.599976,796.530029,796.530029,347490000
1994-01-31,797.770020,800.630005,797.200012,800.469971,800.469971,329920000
1994-02-01,798.419983,799.989990,794.919983,797.239990,797.239990,339750000
1994-02-02,796.960022,799.690002,796.719971,799.570007,799.570007,334950000
1994-02-03,798.440002,798.909973,794.849976,797.789978,797.789978,331620000
1994-02-04,797.239990,797.830017,777.179993,777.280029,777.280029,376030000
1994-02-07,770.640015,779.320007,767.299988,779.200012,779.200012,370020000
1994-02-08,780.270020,783.080017,777.770020,782.700012,782.700012,309940000
1994-02-09,783.479980,787.520020,783.119995,786.530029,786.530029,330190000
1994-02-10,788.150024,788.479980,782.719971,783.419983,783.419983,339290000
1994-02-11,781.030029,783.130005,778.330017,781.390015,781.390015,208190000
1994-02-14,783.609985,785.880005,782.159973,785.450012,785.450012,282510000
1994-02-15,786.380005,790.580017,785.619995,790.119995,790.119995,296640000
1994-02-16,792.640015,793.460022,790.250000,792.619995,792.619995,338500000
1994-02-17,796.140015,796.210022,788.690002,790.239990,790.239990,354810000
1994-02-18,791.469971,792.359985,784.909973,788.849976,788.849976,300630000
1994-02-22,787.409973,791.210022,785.809998,791.150024,791.150024,263270000
1994-02-23,792.640015,793.119995,788.510010,789.109985,789.109985,295470000
1994-02-24,780.760010,786.179993,777.690002,779.440002,779.440002,348950000
1994-02-25,781.710022,783.799988,779.830017,783.780029,783.780029,285650000
1994-02-28,788.239990,792.929993,785.619995,792.500000,792.500000,287550000
1994-03-01,792.099976,793.419983,783.580017,788.640015,788.640015,307310000
1994-03-02,773.010010,783.520020,772.030029,783.469971,783.469971,326640000
1994-03-03,784.599976,786.969971,783.789978,784.580017,784.580017,318360000
1994-03-04,786.900024,790.880005,785.359985,790.549988,790.549988,318180000
1994-03-07,793.630005,795.710022,792.059998,795.049988,795.049988,303240000
1994-03-08,794.090027,795.359985,790.359985,792.119995,792.119995,304660000
1994-03-09,792.960022,794.760010,789.289978,793.049988,793.049988,316900000
1994-03-10,793.869995,795.039978,787.010010,789.090027,789.090027,326790000
1994-03-11,786.659973,789.690002,786.299988,789.200012,789.200012,279250000
1994-03-14,790.469971,793.239990,789.710022,792.799988,792.799988,265500000
1994-03-15,794.460022,795.650024,792.440002,793.520020,793.520020,303080000
1994-03-16,794.809998,799.020020,794.460022,798.989990,798.989990,338010000
1994-03-17,800.390015,804.309998,800.059998,803.849976,803.849976,324270000
1994-03-18,799.210022,804.429993,799.190002,803.929993,803.929993,311450000
1994-03-21,800.159973,803.390015,797.119995,797.299988,797.299988,261550000
1994-03-22,795.909973,797.489990,794.859985,796.340027,796.340027,305230000
1994-03-23,798.880005,799.289978,796.280029,797.510010,797.510010,334150000
1994-03-24,793.650024,796.849976,783.280029,786.679993,786.679993,373500000
1994-03-25,785.809998,787.690002,783.380005,783.450012,783.450012,281290000
1994-03-28,780.010010,784.640015,767.460022,772.500000,772.500000,300920000
1994-03-29,770.409973,773.409973,755.289978,755.289978,755.289978,309560000
1994-03-30,746.130005,753.270020,741.799988,744.909973,744.909973,398190000
1994-03-31,743.919983,747.700012,731.849976,743.460022,743.460022,413950000
1994-04-04,723.059998,737.130005,721.609985,727.409973,727.409973,313720000
1994-04-05,739.549988,751.080017,731.950012,750.950012,750.950012,330810000
1994-04-06,751.549988,752.450012,745.390015,750.719971,750.719971,293820000
1994-04-07,750.969971,755.299988,750.460022,755.169983,755.169983,284690000
1994-04-08,753.229980,755.349976,746.090027,748.710022,748.710022,268820000
1994-04-11,747.500000,749.450012,746.270020,748.109985,748.109985,238170000
1994-04-12,746.169983,747.830017,738.020020,739.219971,739.219971,290760000
1994-04-13,740.479980,741.590027,723.950012,727.380005,727.380005,343360000
1994-04-14,727.380005,730.700012,721.570007,727.309998,727.309998,313100000
1994-04-15,728.219971,729.979980,726.880005,727.969971,727.969971,278920000
1994-04-18,731.119995,731.280029,719.719971,720.450012,720.450012,246580000
1994-04-19,722.349976,723.250000,709.099976,712.849976,712.849976,328190000
1994-04-20,716.320007,717.719971,703.400024,705.520020,705.520020,335340000
1994-04-21,709.619995,718.739990,707.109985,718.739990,718.739990,341230000
1994-04-22,721.840027,724.229980,720.070007,722.559998,722.559998,319540000
1994-04-25,723.849976,731.109985,723.559998,730.799988,730.799988,238290000
1994-04-26,733.530029,734.380005,731.309998,734.210022,734.210022,285540000
1994-04-28,736.030029,736.219971,730.960022,731.690002,731.690002,308690000
1994-04-29,729.729980,734.369995,728.590027,733.840027,733.840027,263810000
1994-05-02,733.969971,740.940002,732.719971,740.679993,740.679993,254080000
1994-05-03,741.849976,742.460022,736.250000,739.369995,739.369995,302080000
1994-05-04,739.380005,741.460022,737.429993,740.299988,740.299988,278820000
1994-05-05,741.359985,742.429993,739.919983,740.549988,740.549988,275370000
1994-05-06,732.190002,737.400024,730.020020,732.859985,732.859985,249510000
1994-05-09,729.960022,731.729980,722.489990,722.960022,722.960022,223840000
1994-05-10,727.400024,729.330017,724.080017,725.000000,725.000000,300040000
1994-05-11,724.539978,725.590027,716.609985,717.000000,717.000000,312280000
1994-05-12,721.169983,722.159973,718.979980,719.609985,719.609985,270710000
1994-05-13,717.320007,720.140015,713.250000,716.919983,716.919983,318730000
1994-05-16,715.229980,716.960022,711.090027,711.909973,711.909973,233560000
1994-05-17,708.409973,712.140015,703.840027,711.520020,711.520020,318170000
1994-05-18,715.500000,722.580017,714.619995,721.900024,721.900024,305490000
1994-05-19,723.260010,728.950012,722.520020,727.309998,727.309998,335750000
1994-05-20,727.210022,727.330017,725.059998,726.700012,726.700012,283620000
1994-05-23,727.599976,728.109985,723.020020,724.950012,724.950012,230700000
1994-05-24,727.890015,732.020020,726.580017,731.469971,731.469971,279570000
1994-05-25,729.059998,732.900024,727.510010,732.070007,732.070007,274180000
1994-05-26,733.869995,734.429993,730.140015,731.640015,731.640015,276720000
1994-05-27,730.510010,733.590027,729.369995,733.140015,733.140015,205520000
1994-05-31,730.830017,735.419983,730.500000,735.190002,735.190002,214430000
1994-06-01,733.179993,735.989990,730.570007,735.520020,735.520020,300340000
1994-06-02,737.650024,739.729980,735.630005,739.500000,739.500000,297820000
1994-06-03,738.599976,743.690002,729.739990,742.380005,742.380005,279000000
1994-06-06,743.289978,744.940002,741.940002,743.429993,743.429993,288370000
1994-06-07,742.469971,742.669983,738.950012,739.299988,739.299988,255550000
1994-06-08,737.960022,740.330017,728.700012,729.789978,729.789978,326070000
1994-06-09,730.109985,730.429993,727.190002,728.880005,728.880005,283080000
1994-06-10,730.059998,734.510010,729.840027,734.250000,734.250000,254310000
1994-06-13,733.130005,734.539978,731.640015,731.700012,731.700012,213110000
1994-06-14,733.890015,736.400024,733.520020,735.979980,735.979980,280890000
1994-06-15,738.000000,738.390015,734.450012,735.840027,735.840027,265280000
1994-06-16,733.450012,735.739990,733.210022,734.969971,734.969971,255370000
1994-06-17,735.450012,735.780029,728.840027,729.349976,729.349976,278470000
1994-06-20,726.450012,726.450012,718.270020,718.849976,718.849976,234170000
1994-06-21,716.419983,716.419983,706.020020,708.789978,708.789978,296510000
1994-06-22,710.520020,714.669983,710.520020,712.739990,712.739990,263700000
1994-06-23,712.909973,714.010010,700.239990,700.849976,700.849976,310310000
1994-06-24,699.780029,699.780029,693.299988,693.789978,693.789978,282460000
1994-06-27,694.159973,702.929993,690.950012,702.679993,702.679993,241230000
1994-06-28,704.130005,706.989990,698.400024,702.049988,702.049988,260090000
1994-06-29,702.580017,707.960022,702.510010,704.010010,704.010010,268240000
1994-06-30,705.750000,707.489990,702.190002,705.960022,705.960022,281780000
1994-07-01,706.289978,706.979980,703.440002,706.849976,706.849976,201870000
1994-07-05,706.729980,707.020020,703.260010,703.590027,703.590027,200100000
1994-07-06,702.469971,702.469971,699.409973,701.000000,701.000000,263050000
1994-07-07,701.479980,706.559998,700.859985,706.530029,706.530029,268580000
1994-07-08,705.599976,709.169983,703.640015,707.460022,707.460022,257210000
1994-07-11,708.460022,709.479980,703.049988,706.830017,706.830017,225660000
1994-07-12,707.320007,709.830017,703.500000,709.590027,709.590027,249600000
1994-07-13,710.880005,719.530029,710.880005,719.349976,719.349976,342160000
1994-07-14,720.349976,725.190002,720.349976,721.559998,721.559998,351310000
1994-07-15,721.640015,721.640015,719.690002,721.359985,721.359985,213820000
1994-07-18,722.299988,722.640015,720.150024,722.619995,722.619995,249350000
1994-07-19,722.700012,723.010010,719.080017,719.320007,719.320007,300460000
1994-07-20,719.570007,719.570007,711.080017,712.770020,712.770020,297630000
1994-07-21,713.320007,715.030029,710.549988,715.030029,715.030029,297470000
1994-07-22,716.760010,717.130005,713.929993,716.679993,716.679993,293720000
1994-07-25,716.659973,716.880005,714.650024,716.880005,716.880005,216640000
1994-07-26,717.099976,717.099976,714.429993,715.659973,715.659973,268550000
1994-07-27,715.799988,716.359985,712.010010,712.130005,712.130005,270680000
1994-07-28,712.059998,714.309998,711.869995,712.429993,712.429993,267190000
1994-07-29,713.929993,722.229980,713.929993,722.159973,722.159973,300810000
1994-08-01,722.840027,724.909973,722.669983,724.849976,724.849976,269660000
1994-08-02,725.330017,728.140015,723.650024,724.799988,724.799988,309760000
1994-08-03,725.280029,725.409973,723.500000,723.690002,723.690002,285400000
1994-08-04,724.409973,724.799988,719.799988,720.179993,720.179993,271130000
1994-08-05,718.659973,718.909973,715.909973,718.669983,718.669983,230910000
1994-08-08,717.729980,720.479980,717.049988,720.469971,720.469971,221810000
1994-08-09,720.460022,722.609985,719.750000,722.609985,722.609985,267250000
1994-08-10,722.869995,728.280029,722.869995,728.200012,728.200012,326430000
1994-08-11,727.640015,731.760010,724.919983,728.200012,728.200012,321770000
1994-08-12,729.429993,731.890015,728.750000,731.609985,731.609985,259460000
1994-08-15,732.109985,733.419983,730.669983,732.890015,732.890015,243590000
1994-08-16,733.390015,735.909973,730.299988,735.510010,735.510010,295560000
1994-08-17,737.010010,742.729980,737.010010,742.659973,742.659973,335310000
1994-08-18,742.270020,744.710022,740.159973,742.169983,742.169983,335280000
1994-08-19,743.460022,743.830017,739.599976,742.429993,742.429993,282910000
1994-08-22,741.760010,742.830017,740.520020,742.289978,742.289978,254750000
1994-08-23,743.320007,749.539978,743.130005,747.979980,747.979980,333210000
1994-08-24,748.130005,751.840027,747.719971,751.719971,751.719971,323480000
1994-08-25,752.190002,756.539978,751.570007,754.799988,754.799988,308290000
1994-08-26,756.500000,764.570007,756.500000,762.940002,762.940002,316810000
1994-08-29,763.440002,765.969971,762.909973,763.210022,763.210022,284030000
1994-08-30,762.700012,766.630005,761.150024,766.460022,766.460022,295140000
1994-08-31,765.729980,767.599976,764.549988,765.619995,765.619995,323990000
1994-09-01,763.000000,763.000000,757.429993,758.950012,758.950012,321840000
1994-09-02,759.520020,761.200012,758.140015,759.229980,759.229980,236460000
1994-09-06,759.010010,759.650024,757.520020,759.479980,759.479980,185150000
